action, id, source, target, label
remove, 433, , ,
remove, 434, , ,
remove, 429, , ,
remove, 430, , ,
remove, 431, , ,
insert, 450, 120, 150, 0
insert, 451, 142, 150, 1
insert, 452, 124, 150, 2
insert, 453, 147, 151, 0
insert, 455, 145, 151, 2
insert, 456, 122, 152, 0
insert, 457, 148, 152, 1
insert, 458, 124, 152, 2
insert, 459, 149, 153, 0
insert, 461, 145, 153, 2
NEW ITERATION, 43, , ,
NEW ITERATION, 44, , ,
NEW ITERATION, 45, , ,
remove, 453, , ,
remove, 454, , ,
remove, 455, , ,
remove, 366, , ,
remove, 367, , ,
remove, 368, , ,
remove, 225, , ,
remove, 226, , ,
remove, 227, , ,
remove, 459, , ,
remove, 460, , ,
remove, 461, , ,
remove, 441, , ,
remove, 442, , ,
remove, 443, , ,
remove, 447, , ,
remove, 448, , ,
remove, 449, , ,
insert, 462, 122, 154, 0
insert, 463, 150, 154, 1
insert, 464, 145, 154, 2
insert, 466, 152, 155, 1
insert, 467, 105, 155, 2
insert, 468, 137, 156, 0
insert, 469, 153, 156, 1
insert, 470, 54, 156, 2
insert, 472, 152, 157, 1
insert, 473, 145, 157, 2
NEW ITERATION, 46, , ,
remove, 450, , ,
remove, 451, , ,
remove, 452, , ,
remove, 465, , ,
remove, 466, , ,
remove, 467, , ,
remove, 435, , ,
remove, 436, , ,
remove, 437, , ,
remove, 456, , ,
remove, 457, , ,
remove, 458, , ,
remove, 462, , ,
remove, 463, , ,
remove, 464, , ,
remove, 315, , ,
remove, 316, , ,
remove, 317, , ,
insert, 474, 152, 158, 0
insert, 475, -1, 158, 1
insert, 476, 155, 158, 2
insert, 477, 150, 159, 0
insert, 479, 154, 159, 2
insert, 480, 120, 160, 0
insert, 482, 124, 160, 2
insert, 483, 145, 161, 0
insert, 485, 154, 161, 2
insert, 486, 146, 162, 0
insert, 488, 157, 162, 2
insert, 490, 157, 163, 1
insert, 491, 124, 163, 2
insert, 492, 105, 164, 0
insert, 495, 106, 165, 0
insert, 496, 120, 165, 1
NEW ITERATION, 47, , ,
NEW ITERATION, 48, , ,
NEW ITERATION, 49, , ,
remove, 477, , ,
remove, 478, , ,
remove, 479, , ,
remove, 471, , ,
remove, 472, , ,
remove, 473, , ,
remove, 483, , ,
remove, 484, , ,
remove, 485, , ,
remove, 372, , ,
remove, 373, , ,
remove, 374, , ,
remove, 474, , ,
remove, 475, , ,
remove, 476, , ,
remove, 489, , ,
remove, 490, , ,
remove, 491, , ,
insert, 498, 160, 166, 0
insert, 499, 157, 166, 1
insert, 500, 164, 166, 2
insert, 501, 156, 167, 0
insert, 503, 162, 167, 2
insert, 504, 162, 168, 0
insert, 505, 124, 168, 1
insert, 506, 164, 168, 2
insert, 507, 128, 169, 0
insert, 508, 160, 169, 1
NEW ITERATION, 50, , ,
NEW ITERATION, 51, , ,
NEW ITERATION, 52, , ,
remove, 501, , ,
remove, 502, , ,
remove, 503, , ,
remove, 345, , ,
remove, 346, , ,
remove, 347, , ,
remove, 162, , ,
remove, 163, , ,
remove, 164, , ,
remove, 423, , ,
remove, 424, , ,
remove, 425, , ,
remove, 468, , ,
remove, 469, , ,
remove, 470, , ,
remove, 411, , ,
remove, 412, , ,
remove, 413, , ,
insert, 510, 115, 170, 0
insert, 511, 166, 170, 1
insert, 512, 162, 170, 2
insert, 514, 140, 171, 1
insert, 515, 106, 171, 2
insert, 516, 141, 172, 0
insert, 517, 3, 172, 1
insert, 518, 5, 172, 2
insert, 520, 140, 173, 1
insert, 521, 146, 173, 2
NEW ITERATION, 53, , ,
remove, 498, , ,
remove, 499, , ,
remove, 500, , ,
remove, 513, , ,
remove, 514, , ,
remove, 515, , ,
remove, 486, , ,
remove, 487, , ,
remove, 488, , ,
remove, 420, , ,
remove, 421, , ,
remove, 422, , ,
remove, 510, , ,
remove, 511, , ,
remove, 512, , ,
remove, 318, , ,
remove, 319, , ,
remove, 320, , ,
insert, 522, 140, 174, 0
insert, 523, -1, 174, 1
insert, 524, 171, 174, 2
insert, 525, 166, 175, 0
insert, 527, 170, 175, 2
insert, 528, 160, 176, 0
insert, 530, 164, 176, 2
insert, 531, 162, 177, 0
insert, 533, 170, 177, 2
insert, 534, 146, 178, 0
insert, 535, 168, 178, 1
insert, 538, 173, 179, 1
insert, 539, 128, 179, 2
insert, 540, 106, 180, 0
insert, 543, 134, 181, 0
insert, 544, 165, 181, 1
NEW ITERATION, 54, , ,
NEW ITERATION, 55, , ,
NEW ITERATION, 56, , ,
remove, 525, , ,
remove, 526, , ,
remove, 527, , ,
remove, 519, , ,
remove, 520, , ,
remove, 521, , ,
remove, 531, , ,
remove, 532, , ,
remove, 533, , ,
remove, 384, , ,
remove, 385, , ,
remove, 386, , ,
remove, 522, , ,
remove, 523, , ,
remove, 524, , ,
remove, 537, , ,
remove, 538, , ,
remove, 539, , ,
insert, 546, 176, 182, 0
insert, 547, 173, 182, 1
insert, 548, 180, 182, 2
insert, 549, 172, 183, 0
insert, 551, 146, 183, 2
insert, 552, 178, 184, 0
insert, 553, 128, 184, 1
insert, 554, 180, 184, 2
insert, 555, 134, 185, 0
insert, 556, 169, 185, 1
NEW ITERATION, 57, , ,
NEW ITERATION, 58, , ,
remove, 546, , ,
remove, 547, , ,
remove, 548, , ,
remove, 9, , ,
remove, 10, , ,
remove, 11, , ,
remove, 438, , ,
remove, 439, , ,
remove, 440, , ,
remove, 15, , ,
remove, 16, , ,
remove, 17, , ,
remove, 549, , ,
remove, 550, , ,
remove, 551, , ,
remove, 516, , ,
remove, 517, , ,
remove, 518, , ,
insert, 558, 176, 186, 0
insert, 559, 3, 186, 1
insert, 560, 180, 186, 2
insert, 561, 1, 187, 0
insert, 563, 5, 187, 2
insert, 564, 134, 188, 0
insert, 565, 178, 188, 1
insert, 566, 5, 188, 2
insert, 567, 6, 189, 0
NEW ITERATION, 59, , ,
NEW ITERATION, 60, , ,
NEW ITERATION, 61, , ,
NEW ITERATION, 62, , ,
NEW ITERATION, 63, , ,
remove, 495, , ,
remove, 496, , ,
remove, 497, , ,
remove, 402, , ,
remove, 403, , ,
remove, 404, , ,
remove, 540, , ,
remove, 541, , ,
remove, 542, , ,
remove, 555, , ,
remove, 556, , ,
remove, 557, , ,
remove, 543, , ,
remove, 544, , ,
remove, 545, , ,
remove, 564, , ,
remove, 565, , ,
remove, 566, , ,
insert, 570, 185, 190, 0
insert, 571, -1, 190, 1
insert, 572, 134, 190, 2
insert, 573, 165, 191, 0
insert, 575, 181, 191, 2
insert, 577, 120, 192, 1
insert, 578, 164, 192, 2
insert, 579, 180, 193, 0
insert, 581, 181, 193, 2
insert, 583, 186, 194, 1
insert, 584, 184, 194, 2
insert, 586, 169, 195, 1
insert, 587, 184, 195, 2
insert, 588, 188, 196, 0
insert, 592, 178, 197, 1
insert, 593, 189, 197, 2
NEW ITERATION, 64, , ,
remove, 558, , ,
remove, 559, , ,
remove, 560, , ,
remove, 570, , ,
remove, 571, , ,
remove, 572, , ,
remove, 552, , ,
remove, 553, , ,
remove, 554, , ,
remove, 588, , ,
remove, 589, , ,
remove, 590, , ,
remove, 582, , ,
remove, 583, , ,
remove, 584, , ,
remove, 579, , ,
remove, 580, , ,
remove, 581, , ,
insert, 594, 176, 198, 0
insert, 595, 187, 198, 1
insert, 596, 190, 198, 2
insert, 597, 195, 199, 0
insert, 598, 191, 199, 1
insert, 600, 178, 200, 0
insert, 601, 195, 200, 1
insert, 602, 196, 200, 2
insert, 603, 197, 201, 0
insert, 604, 191, 201, 1
NEW ITERATION, 65, , ,
NEW ITERATION, 66, , ,
remove, 573, , ,
remove, 574, , ,
remove, 575, , ,
remove, 507, , ,
remove, 508, , ,
remove, 509, , ,
remove, 594, , ,
remove, 595, , ,
remove, 596, , ,
remove, 600, , ,
remove, 601, , ,
remove, 602, , ,
remove, 597, , ,
remove, 598, , ,
remove, 599, , ,
remove, 585, , ,
remove, 586, , ,
remove, 587, , ,
insert, 606, 192, 202, 0
insert, 607, 169, 202, 1
insert, 608, 201, 202, 2
insert, 610, 160, 203, 1
insert, 611, 168, 203, 2
insert, 612, 176, 204, 0
insert, 613, 187, 204, 1
insert, 614, 200, 204, 2
insert, 615, 178, 205, 0
insert, 617, 201, 205, 2
NEW ITERATION, 67, , ,
NEW ITERATION, 68, , ,
NEW ITERATION, 69, , ,
NEW ITERATION, 70, , ,
remove, 534, , ,
remove, 535, , ,
remove, 536, , ,
remove, 606, , ,
remove, 607, , ,
remove, 608, , ,
remove, 567, , ,
remove, 568, , ,
remove, 569, , ,
remove, 615, , ,
remove, 616, , ,
remove, 617, , ,
remove, 591, , ,
remove, 592, , ,
remove, 593, , ,
remove, 603, , ,
remove, 604, , ,
remove, 605, , ,
insert, 618, 202, 206, 0
insert, 619, 168, 206, 1
insert, 620, 205, 206, 2
insert, 621, 192, 207, 0
insert, 622, 203, 207, 1
insert, 624, 6, 208, 0
insert, 625, 205, 208, 1
insert, 626, 187, 208, 2
insert, 628, 204, 209, 1
NEW ITERATION, 71, , ,
NEW ITERATION, 72, , ,
remove, 609, , ,
remove, 610, , ,
remove, 611, , ,
remove, 576, , ,
remove, 577, , ,
remove, 578, , ,
remove, 618, , ,
remove, 619, , ,
remove, 620, , ,
remove, 360, , ,
remove, 361, , ,
remove, 362, , ,
remove, 621, , ,
remove, 622, , ,
remove, 623, , ,
remove, 492, , ,
remove, 493, , ,
remove, 494, , ,
insert, 630, 120, 210, 0
insert, 631, -1, 210, 1
insert, 632, 192, 210, 2
insert, 633, 203, 211, 0
insert, 635, 207, 211, 2
insert, 637, 160, 212, 1
insert, 638, 168, 212, 2
insert, 639, 206, 213, 0
insert, 641, 207, 213, 2
insert, 643, 168, 214, 1
insert, 644, 209, 214, 2
insert, 645, 101, 215, 0
insert, 646, 160, 215, 1
insert, 648, 164, 216, 0
insert, 652, 176, 217, 1
insert, 653, 168, 217, 2
NEW ITERATION, 73, , ,
remove, 504, , ,
remove, 505, , ,
remove, 506, , ,
remove, 630, , ,
remove, 631, , ,
remove, 632, , ,
remove, 627, , ,
remove, 628, , ,
remove, 629, , ,
remove, 648, , ,
remove, 649, , ,
remove, 650, , ,
remove, 642, , ,
remove, 643, , ,
remove, 644, , ,
remove, 639, , ,
remove, 640, , ,
remove, 641, , ,
insert, 654, 210, 218, 0
insert, 655, 212, 218, 1
insert, 656, 217, 218, 2
insert, 657, 215, 219, 0
insert, 658, 211, 219, 1
insert, 660, 216, 220, 0
insert, 661, 204, 220, 1
insert, 662, 208, 220, 2
insert, 663, 217, 221, 0
insert, 664, 211, 221, 1
NEW ITERATION, 74, , ,
NEW ITERATION, 75, , ,
remove, 633, , ,
remove, 634, , ,
remove, 635, , ,
remove, 528, , ,
remove, 529, , ,
remove, 530, , ,
remove, 660, , ,
remove, 661, , ,
remove, 662, , ,
remove, 654, , ,
remove, 655, , ,
remove, 656, , ,
remove, 663, , ,
remove, 664, , ,
remove, 665, , ,
remove, 651, , ,
remove, 652, , ,
remove, 653, , ,
insert, 666, 212, 222, 0
insert, 667, 219, 222, 1
insert, 668, 176, 222, 2
insert, 669, 160, 223, 0
insert, 670, 204, 223, 1
insert, 672, 218, 224, 0
insert, 673, 204, 224, 1
insert, 674, 208, 224, 2
insert, 675, 219, 225, 0
insert, 676, 212, 225, 1
NEW ITERATION, 76, , ,
NEW ITERATION, 77, , ,
NEW ITERATION, 78, , ,
NEW ITERATION, 79, , ,
NEW ITERATION, 80, , ,
NEW ITERATION, 81, , ,
